"","dataset","var","nobs","mean","wSD","bSD","ICC","min","max","1","2","3","4","5"
"1. moment_NA","1","df$moment_NA","3826","23.29","14.07","15.03","0.49","4.13","64.6","","-.62 [-.74,-.45]","-.13 [-.35, .11]","-.66 [-.77,-.50]"," .58 [ .40, .72]"
"2. moment_NA_bray.all.suc","1","df$moment_NA_bray.all.suc","3426","0.4","0.3","0.16","0.18","0","0.89","-.11 [-.14,-.07]",""," .52 [ .32, .67]"," .94 [ .90, .96]","-.28 [-.48,-.05]"
"3. moment_NA_bray.bal.suc","1","df$moment_NA_bray.bal.suc","3426","0.08","0.18","0.06","0.05","0","0.67","-.01 [-.04, .03]"," .26 [ .22, .29]",""," .19 [-.04, .41]","-.17 [-.39, .06]"
"4. moment_NA_bray.gra.suc","1","df$moment_NA_bray.gra.suc","3426","0.32","0.31","0.14","0.13","0","0.87","-.10 [-.13,-.07]"," .81 [ .80, .82]","-.35 [-.38,-.32]","","-.25 [-.46,-.02]"
"5. person_CESD","1","df$person_CESD","70","0.31","0","0.15","0","0.04","0.86","   NA [   NA,   NA]","   NA [   NA,   NA]","   NA [   NA,   NA]","   NA [   NA,   NA]",""
"1. moment_NA","2","df$moment_NA","5682","14.92","10.01","10.88","0.48","2.51","48.59","","-.51 [-.65,-.34]","-.33 [-.50,-.13]","-.50 [-.64,-.33]"," .62 [ .47, .73]"
"2. moment_NA_bray.all.suc","2","df$moment_NA_bray.all.suc","5147","0.41","0.23","0.16","0.27","0.05","0.85","-.04 [-.07,-.02]",""," .76 [ .66, .83]"," .90 [ .85, .93]","-.21 [-.40,-.01]"
"3. moment_NA_bray.bal.suc","2","df$moment_NA_bray.bal.suc","5147","0.14","0.18","0.07","0.1","0","0.68","-.09 [-.11,-.06]"," .30 [ .28, .33]",""," .39 [ .21, .55]","-.25 [-.43,-.05]"
"4. moment_NA_bray.gra.suc","2","df$moment_NA_bray.gra.suc","5147","0.27","0.25","0.11","0.13","0","0.82"," .03 [ .00, .05]"," .68 [ .67, .70]","-.49 [-.51,-.47]","","-.13 [-.32, .07]"
"5. person_CESD","2","df$person_CESD","94","0.25","0","0.16","0","0.02","0.82","   NA [   NA,   NA]","   NA [   NA,   NA]","   NA [   NA,   NA]","   NA [   NA,   NA]",""
"1. moment_NA","3","df$moment_NA","12289","14.88","9.47","8.74","0.42","2.66","46.65","","-.52 [-.61,-.41]","-.25 [-.37,-.11]","-.52 [-.61,-.41]"," .43 [ .31, .54]"
"2. moment_NA_bray.all.suc","3","df$moment_NA_bray.all.suc","11003","0.41","0.21","0.14","0.25","0.07","0.83","-.06 [-.08,-.04]",""," .66 [ .58, .73]"," .90 [ .87, .92]","-.18 [-.31,-.04]"
"3. moment_NA_bray.bal.suc","3","df$moment_NA_bray.bal.suc","11003","0.15","0.17","0.06","0.08","0","0.66","-.06 [-.08,-.04]"," .29 [ .28, .31]",""," .27 [ .13, .39]","-.09 [-.22, .05]"
"4. moment_NA_bray.gra.suc","3","df$moment_NA_bray.gra.suc","11003","0.25","0.23","0.11","0.14","0","0.79","-.01 [-.03, .01]"," .70 [ .69, .71]","-.48 [-.49,-.47]","","-.18 [-.31,-.04]"
"5. person_CESD","3","df$person_CESD","201","0.21","0","0.13","0","0.02","0.63","   NA [   NA,   NA]","   NA [   NA,   NA]","   NA [   NA,   NA]","   NA [   NA,   NA]",""
