"","dataset","model","FEest","SE","DF","pvalue","residual","phi","nobs","N","u95CI","l95CI","AIC","BIC","LL","RMSE"
"(Intercept)","DF1","mm_H1","23.4467287515865","1.38293590594567","2862","1.6312249881325e-61","176.980666347379","-0.0194862000365652","2936","70","26.15728312724","20.736174375933","23867.0188795833","23980.684790173","-11914.5094397916","15.4834417456067"
"moment_NA_bray.bal.succw","DF1","mm_H1","-3.05092365554183","1.52175552424735","2862","0.0450708472359695","176.980666347379","-0.0194862000365652","2936","70","-0.0682828280170198","-6.03356448306663","23867.0188795833","23980.684790173","-11914.5094397916","15.4834417456067"
"moment_NA_bray.gra.succw","DF1","mm_H1","-4.04839457131402","1.14628376734661","2862","0.000419331156476311","176.980666347379","-0.0194862000365652","2936","70","-1.80167838731467","-6.29511075531337","23867.0188795833","23980.684790173","-11914.5094397916","15.4834417456067"
"moment_NAcwL1D","DF1","mm_H1","0.328336645510607","0.0297427046246803","2862","8.90930291253861e-28","176.980666347379","-0.0194862000365652","2936","70","0.386632346574981","0.270040944446234","23867.0188795833","23980.684790173","-11914.5094397916","15.4834417456067"
"timecw","DF1","mm_H1","0.0364357835668685","0.0138757928663785","2862","0.00868926338286838","176.980666347379","-0.0194862000365652","2936","70","0.0636323375849703","0.00923922954876674","23867.0188795833","23980.684790173","-11914.5094397916","15.4834417456067"
"moment_NA_bray.bal.succb","DF1","mm_H1","-16.0759797446438","19.3059488554622","67","0.407974833106569","176.980666347379","-0.0194862000365652","2936","70","21.7636800120621","-53.9156395013497","23867.0188795833","23980.684790173","-11914.5094397916","15.4834417456067"
"moment_NA_bray.gra.succb","DF1","mm_H1","-50.499895697704","8.61451149776109","67","1.53765753688042e-07","176.980666347379","-0.0194862000365652","2936","70","-33.6154531620923","-67.3843382333157","23867.0188795833","23980.684790173","-11914.5094397916","15.4834417456067"
"(Intercept)","DF1","mm_H2","10.7086561376149","2.3840904424024","2860","7.34518680809521e-06","176.305760889547","-0.0270381947427185","2936","70","15.3814734047236","6.03583887050616","23856.7797008314","24096.0353640946","-11888.3898504157","14.9231713919283"
"moment_NA_bray.bal.succw","DF1","mm_H2","4.6994471875755","3.31065981466363","2860","0.15586530653311","176.305760889547","-0.0270381947427185","2936","70","11.1883404243162","-1.78944604916521","23856.7797008314","24096.0353640946","-11888.3898504157","14.9231713919283"
"moment_NA_bray.gra.succw","DF1","mm_H2","1.82340128098108","2.22233508141368","2860","0.412005829087595","176.305760889547","-0.0270381947427185","2936","70","6.1791780405519","-2.53237547858973","23856.7797008314","24096.0353640946","-11888.3898504157","14.9231713919283"
"person_CESD","DF1","mm_H2","40.7007160622241","8.25187437266603","66","5.78570811328695e-06","176.305760889547","-0.0270381947427185","2936","70","56.8743898326495","24.5270422917987","23856.7797008314","24096.0353640946","-11888.3898504157","14.9231713919283"
"timecw","DF1","mm_H2","0.0338771869919351","0.0137827639967985","2860","0.0140326190049956","176.305760889547","-0.0270381947427185","2936","70","0.0608914044256602","0.00686296955820995","23856.7797008314","24096.0353640946","-11888.3898504157","14.9231713919283"
"moment_NA_bray.bal.succb","DF1","mm_H2","10.1553871974298","16.1359841794196","66","0.531284166531683","176.305760889547","-0.0270381947427185","2936","70","41.7819161890922","-21.4711417942326","23856.7797008314","24096.0353640946","-11888.3898504157","14.9231713919283"
"moment_NA_bray.gra.succb","DF1","mm_H2","-41.7127984031291","7.46518048022217","66","4.71318483195199e-07","176.305760889547","-0.0270381947427185","2936","70","-27.0810446618936","-56.3445521443645","23856.7797008314","24096.0353640946","-11888.3898504157","14.9231713919283"
"moment_NAcwL1D","DF1","mm_H2","0.326078942711694","0.0301420530275419","2860","9.24943587965688e-27","176.305760889547","-0.0270381947427185","2936","70","0.385157366645677","0.267000518777712","23856.7797008314","24096.0353640946","-11888.3898504157","14.9231713919283"
"moment_NA_bray.bal.succw:person_CESD","DF1","mm_H2","-27.6662077573981","11.2136274276978","2860","0.0136757854033242","176.305760889547","-0.0270381947427185","2936","70","-5.68749799911039","-49.6449175156859","23856.7797008314","24096.0353640946","-11888.3898504157","14.9231713919283"
"moment_NA_bray.gra.succw:person_CESD","DF1","mm_H2","-21.4792391235186","8.50826535035728","2860","0.0116395040999","176.305760889547","-0.0270381947427185","2936","70","-4.80303903681829","-38.1554392102188","23856.7797008314","24096.0353640946","-11888.3898504157","14.9231713919283"
"(Intercept)","DF2","mm_H1","14.782143514217","0.975479459724481","4553","1.20862687798799e-50","93.437794928888","-0.0376590371771262","4651","94","16.694083255277","12.870203773157","34841.8103282504","34964.233623764","-17401.9051641252","11.7978241158804"
