,source,model,FEest,SE,DF,pvalue,residual,phi,nobs,N,u95CI,l95CI,AIC,BIC,LL,RMSE
(Intercept),df.1s1,mm_H1,21.39901938,1.740980362,2862,7.10E-34,220.8267992,0.017983403,2936,70,24.81134089,17.98669787,24557.41641,24671.08232,-12259.70821,18.06016589
moment_NA_bray.bal.succw,df.1s1,mm_H1,-0.959410009,2.465709481,2862,0.697230385,220.8267992,0.017983403,2936,70,3.873380574,-5.792200593,24557.41641,24671.08232,-12259.70821,18.06016589
moment_NA_bray.gra.succw,df.1s1,mm_H1,-0.450797872,1.318653251,2862,0.7324796,220.8267992,0.017983403,2936,70,2.133762501,-3.035358244,24557.41641,24671.08232,-12259.70821,18.06016589
moment_NAcwL1D,df.1s1,mm_H1,0.284188977,0.034684998,2862,3.78E-16,220.8267992,0.017983403,2936,70,0.352171574,0.216206381,24557.41641,24671.08232,-12259.70821,18.06016589
timecw,df.1s1,mm_H1,0.040652757,0.016108762,2862,0.011668307,220.8267992,0.017983403,2936,70,0.07222593,0.009079583,24557.41641,24671.08232,-12259.70821,18.06016589
moment_NA_bray.bal.succb,df.1s1,mm_H1,55.87428248,43.47040708,67,0.203098558,220.8267992,0.017983403,2936,70,141.0762804,-29.32771539,24557.41641,24671.08232,-12259.70821,18.06016589
moment_NA_bray.gra.succb,df.1s1,mm_H1,-28.75716195,10.25992262,67,0.006617885,220.8267992,0.017983403,2936,70,-8.647713623,-48.86661028,24557.41641,24671.08232,-12259.70821,18.06016589
(Intercept),df.1s1,mm_H2,5.08554784,2.480863924,2860,0.040464211,219.2843387,0.008240904,2936,70,9.948041131,0.223054549,24534.4011,24773.65676,-12227.20055,17.20265763
moment_NA_bray.bal.succw,df.1s1,mm_H2,8.064099784,5.432618047,2860,0.137816862,219.2843387,0.008240904,2936,70,18.71203116,-2.583831587,24534.4011,24773.65676,-12227.20055,17.20265763
moment_NA_bray.gra.succw,df.1s1,mm_H2,7.911153076,2.573996399,2860,0.002135657,219.2843387,0.008240904,2936,70,12.95618602,2.866120134,24534.4011,24773.65676,-12227.20055,17.20265763
person_CESD,df.1s1,mm_H2,52.52396862,9.670606016,66,8.66E-07,219.2843387,0.008240904,2936,70,71.47835641,33.56958083,24534.4011,24773.65676,-12227.20055,17.20265763
timecw,df.1s1,mm_H2,0.041801797,0.015917282,2860,0.008680718,219.2843387,0.008240904,2936,70,0.07299967,0.010603924,24534.4011,24773.65676,-12227.20055,17.20265763
moment_NA_bray.bal.succb,df.1s1,mm_H2,77.80963451,35.05872518,66,0.029900776,219.2843387,0.008240904,2936,70,146.5247359,9.09453315,24534.4011,24773.65676,-12227.20055,17.20265763
moment_NA_bray.gra.succb,df.1s1,mm_H2,-10.6383217,7.943149588,66,0.185064625,219.2843387,0.008240904,2936,70,4.930251492,-26.20689489,24534.4011,24773.65676,-12227.20055,17.20265763
moment_NAcwL1D,df.1s1,mm_H2,0.290638015,0.035579196,2860,4.62E-16,219.2843387,0.008240904,2936,70,0.360373239,0.22090279,24534.4011,24773.65676,-12227.20055,17.20265763
moment_NA_bray.bal.succw:person_CESD,df.1s1,mm_H2,-27.64671427,16.86216388,2860,0.101204383,219.2843387,0.008240904,2936,70,5.403126923,-60.69655547,24534.4011,24773.65676,-12227.20055,17.20265763
moment_NA_bray.gra.succw:person_CESD,df.1s1,mm_H2,-29.30798824,10.22362168,2860,0.004178173,219.2843387,0.008240904,2936,70,-9.269689758,-49.34628672,24534.4011,24773.65676,-12227.20055,17.20265763
(Intercept),df.1s2,mm_H1,25.3782533,1.480148216,2862,8.34E-63,220.739511,-0.027570663,2936,70,28.27934381,22.4771628,24504.21098,24617.87689,-12233.10549,17.118485
moment_NA_bray.bal.succw,df.1s2,mm_H1,-3.766694313,1.861912497,2862,0.043163434,220.739511,-0.027570663,2936,70,-0.117345819,-7.416042807,24504.21098,24617.87689,-12233.10549,17.118485
moment_NA_bray.gra.succw,df.1s2,mm_H1,-4.582572564,1.288550744,2862,0.000382101,220.739511,-0.027570663,2936,70,-2.057013105,-7.108132023,24504.21098,24617.87689,-12233.10549,17.118485
moment_NAcwL1D,df.1s2,mm_H1,0.293492635,0.02795999,2862,2.56E-25,220.739511,-0.027570663,2936,70,0.348294216,0.238691054,24504.21098,24617.87689,-12233.10549,17.118485
timecw,df.1s2,mm_H1,0.038269004,0.015365283,2862,0.012808508,220.739511,-0.027570663,2936,70,0.068384959,0.00815305,24504.21098,24617.87689,-12233.10549,17.118485
moment_NA_bray.bal.succb,df.1s2,mm_H1,-17.79012057,28.0327115,67,0.5278374,220.739511,-0.027570663,2936,70,37.15399396,-72.73423511,24504.21098,24617.87689,-12233.10549,17.118485
moment_NA_bray.gra.succb,df.1s2,mm_H1,-46.01442625,8.508836075,67,9.18E-07,220.739511,-0.027570663,2936,70,-29.33710754,-62.69174495,24504.21098,24617.87689,-12233.10549,17.118485
(Intercept),df.1s2,mm_H2,11.62876403,2.581204046,2860,6.90E-06,220.5189799,-0.034413325,2936,70,16.68792396,6.569604103,24496.45179,24735.70746,-12208.2259,16.53078654
moment_NA_bray.bal.succw,df.1s2,mm_H2,4.307667962,4.116611547,2860,0.295459703,220.5189799,-0.034413325,2936,70,12.37622659,-3.76089067,24496.45179,24735.70746,-12208.2259,16.53078654
moment_NA_bray.gra.succw,df.1s2,mm_H2,3.197488002,2.495081821,2860,0.200116268,220.5189799,-0.034413325,2936,70,8.087848371,-1.692872367,24496.45179,24735.70746,-12208.2259,16.53078654
person_CESD,df.1s2,mm_H2,43.62697242,8.95872443,66,7.30E-06,220.5189799,-0.034413325,2936,70,61.1860723,26.06787254,24496.45179,24735.70746,-12208.2259,16.53078654
timecw,df.1s2,mm_H2,0.035637025,0.01527044,2860,0.019679005,220.5189799,-0.034413325,2936,70,0.065567087,0.005706963,24496.45179,24735.70746,-12208.2259,16.53078654
moment_NA_bray.bal.succb,df.1s2,mm_H2,28.20555802,23.50219327,66,0.234381133,220.5189799,-0.034413325,2936,70,74.26985684,-17.85874079,24496.45179,24735.70746,-12208.2259,16.53078654
moment_NA_bray.gra.succb,df.1s2,mm_H2,-36.76050922,7.406208435,66,5.15E-06,220.5189799,-0.034413325,2936,70,-22.24434068,-51.27667775,24496.45179,24735.70746,-12208.2259,16.53078654
moment_NAcwL1D,df.1s2,mm_H2,0.291761105,0.028330226,2860,1.90E-24,220.5189799,-0.034413325,2936,70,0.347288348,0.236233862,24496.45179,24735.70746,-12208.2259,16.53078654
moment_NA_bray.bal.succw:person_CESD,df.1s2,mm_H2,-28.58517867,14.10912516,2860,0.042856781,220.5189799,-0.034413325,2936,70,-0.931293348,-56.23906399,24496.45179,24735.70746,-12208.2259,16.53078654
moment_NA_bray.gra.succw:person_CESD,df.1s2,mm_H2,-26.68433233,9.114595733,2860,0.003442317,220.5189799,-0.034413325,2936,70,-8.819724691,-44.54893997,24496.45179,24735.70746,-12208.2259,16.53078654
(Intercept),df.1s3,mm_H1,23.564655,1.505637423,2862,4.86E-53,196.5929299,-0.027621312,2936,70,26.51570435,20.61360565,24162.89294,24276.55885,-12062.44647,16.47397223
moment_NA_bray.bal.succw,df.1s3,mm_H1,0.362137398,1.845430987,2862,0.844440486,196.5929299,-0.027621312,2936,70,3.979182132,-3.254907337,24162.89294,24276.55885,-12062.44647,16.47397223
moment_NA_bray.gra.succw,df.1s3,mm_H1,-4.378975669,1.292589557,2862,0.000714199,196.5929299,-0.027621312,2936,70,-1.845500138,-6.9124512,24162.89294,24276.55885,-12062.44647,16.47397223
moment_NAcwL1D,df.1s3,mm_H1,0.289420605,0.026657012,2862,6.13E-27,196.5929299,-0.027621312,2936,70,0.341668349,0.237172861,24162.89294,24276.55885,-12062.44647,16.47397223
timecw,df.1s3,mm_H1,0.033889591,0.014430824,2862,0.0189211,196.5929299,-0.027621312,2936,70,0.062174006,0.005605177,24162.89294,24276.55885,-12062.44647,16.47397223
moment_NA_bray.bal.succb,df.1s3,mm_H1,8.885814227,22.34359475,67,0.692123301,196.5929299,-0.027621312,2936,70,52.67925993,-34.90763148,24162.89294,24276.55885,-12062.44647,16.47397223
moment_NA_bray.gra.succb,df.1s3,mm_H1,-34.57477212,8.024237385,67,5.50E-05,196.5929299,-0.027621312,2936,70,-18.84726684,-50.30227739,24162.89294,24276.55885,-12062.44647,16.47397223
(Intercept),df.1s3,mm_H2,10.50646332,2.62099266,2860,6.26E-05,196.0826853,-0.029018848,2936,70,15.64360894,5.369317711,24155.31529,24394.57096,-12037.65765,15.90992837
moment_NA_bray.bal.succw,df.1s3,mm_H2,11.51911398,4.033729205,2860,0.00432519,196.0826853,-0.029018848,2936,70,19.42522323,3.613004742,24155.31529,24394.57096,-12037.65765,15.90992837
moment_NA_bray.gra.succw,df.1s3,mm_H2,3.059358294,2.330109067,2860,0.189299118,196.0826853,-0.029018848,2936,70,7.626372065,-1.507655476,24155.31529,24394.57096,-12037.65765,15.90992837
person_CESD,df.1s3,mm_H2,42.25496764,9.002504689,66,1.40E-05,196.0826853,-0.029018848,2936,70,59.89987683,24.61005845,24155.31529,24394.57096,-12037.65765,15.90992837
timecw,df.1s3,mm_H2,0.030669544,0.014409138,2860,0.033382654,196.0826853,-0.029018848,2936,70,0.058911454,0.002427635,24155.31529,24394.57096,-12037.65765,15.90992837
moment_NA_bray.bal.succb,df.1s3,mm_H2,21.66221038,20.18577051,66,0.287115241,196.0826853,-0.029018848,2936,70,61.22632058,-17.90189982,24155.31529,24394.57096,-12037.65765,15.90992837
moment_NA_bray.gra.succb,df.1s3,mm_H2,-28.76837211,7.337361535,66,0.000212526,196.0826853,-0.029018848,2936,70,-14.3871435,-43.14960072,24155.31529,24394.57096,-12037.65765,15.90992837
moment_NAcwL1D,df.1s3,mm_H2,0.28469553,0.02707445,2860,2.12E-25,196.0826853,-0.029018848,2936,70,0.337761451,0.231629608,24155.31529,24394.57096,-12037.65765,15.90992837
moment_NA_bray.bal.succw:person_CESD,df.1s3,mm_H2,-39.56805332,13.40851166,2860,0.003193562,196.0826853,-0.029018848,2936,70,-13.28737046,-65.84873618,24155.31529,24394.57096,-12037.65765,15.90992837
moment_NA_bray.gra.succw:person_CESD,df.1s3,mm_H2,-26.48434103,8.637134255,2860,0.00218727,196.0826853,-0.029018848,2936,70,-9.555557888,-43.41312417,24155.31529,24394.57096,-12037.65765,15.90992837
(Intercept),df.2s1,mm_H1,15.24847572,1.119487764,4553,1.93E-41,106.3470749,-0.025873002,4651,94,17.44267174,13.05427971,35470.60138,35593.02468,-17716.30069,12.86113764
moment_NA_bray.bal.succw,df.2s1,mm_H1,-3.856651774,1.510448565,4553,0.010702598,106.3470749,-0.025873002,4651,94,-0.896172587,-6.817130961,35470.60138,35593.02468,-17716.30069,12.86113764
moment_NA_bray.gra.succw,df.2s1,mm_H1,-0.016323588,1.198690462,4553,0.98913546,106.3470749,-0.025873002,4651,94,2.333109719,-2.365756894,35470.60138,35593.02468,-17716.30069,12.86113764
moment_NAcwL1D,df.2s1,mm_H1,0.32734791,0.026975978,4553,2.25E-33,106.3470749,-0.025873002,4651,94,0.380220826,0.274474993,35470.60138,35593.02468,-17716.30069,12.86113764
timecw,df.2s1,mm_H1,0.000278701,0.008120555,4553,0.972623136,106.3470749,-0.025873002,4651,94,0.016194988,-0.015637586,35470.60138,35593.02468,-17716.30069,12.86113764
moment_NA_bray.bal.succb,df.2s1,mm_H1,-19.77805168,12.99477895,91,0.131476573,106.3470749,-0.025873002,4651,94,5.69171506,-45.24781841,35470.60138,35593.02468,-17716.30069,12.86113764
moment_NA_bray.gra.succb,df.2s1,mm_H1,-25.1073807,6.860216918,91,0.000422894,106.3470749,-0.025873002,4651,94,-11.66135554,-38.55340586,35470.60138,35593.02468,-17716.30069,12.86113764
(Intercept),df.2s1,mm_H2,6.925766367,1.181770144,4551,4.94E-09,105.8626735,-0.029100812,4651,94,9.24203585,4.609496885,35399.61262,35657.32003,-17659.80631,12.18951591
moment_NA_bray.bal.succw,df.2s1,mm_H2,7.20357897,2.195421499,4551,0.001041518,105.8626735,-0.029100812,4651,94,11.50660511,2.900552832,35399.61262,35657.32003,-17659.80631,12.18951591
