"","dataset","model","FEest","SE","DF","pvalue","residual","phi","nobs","N","u95CI","l95CI","AIC","BIC","LL","RMSE"
"(Intercept)","DF1","mm_H1s","23.4892312749947","1.76818482264045","2863","4.00679996858017e-39","179.891500690022","-0.014005644591166","2936","70","26.9548735273699","20.0235890226194","23932.7662193491","24010.5465055784","-11953.3831096746","16.8062374375511"
"moment_NA_bray.bal.succw","DF1","mm_H1s","-0.782608807843148","1.3323749856208","2863","0.55699565397786","179.891500690022","-0.014005644591166","2936","70","1.82884616397361","-3.39406377965991","23932.7662193491","24010.5465055784","-11953.3831096746","16.8062374375511"
"moment_NAcwL1D","DF1","mm_H1s","0.345362456983241","0.0292362827747859","2863","1.78191094316874e-31","179.891500690022","-0.014005644591166","2936","70","0.402665571221821","0.288059342744661","23932.7662193491","24010.5465055784","-11953.3831096746","16.8062374375511"
"timecw","DF1","mm_H1s","0.0344651661590825","0.014009754989484","2863","0.0139491506340171","179.891500690022","-0.014005644591166","2936","70","0.0619242859384711","0.00700604637969399","23932.7662193491","24010.5465055784","-11953.3831096746","16.8062374375511"
"moment_NA_bray.bal.succb","DF1","mm_H1s","-38.7192231257138","30.6176816776388","68","0.210330658696249","179.891500690022","-0.014005644591166","2936","70","21.2914329624583","-98.729879213886","23932.7662193491","24010.5465055784","-11953.3831096746","16.8062374375511"
"(Intercept)","DF1","mm_H1r","25.3107910672075","2.02763381642208","2862","7.35797655095681e-35","176.576737240968","-0.0253611884119302","2936","70","29.2849533473947","21.3366287870202","23887.9800381282","23989.6927201203","-11926.9900190641","16.5707455575159"
"moment_NA_bray.bal.suc","DF1","mm_H1r","-5.95132588502669","1.6911444418665","2862","0.000439743077616687","176.576737240968","-0.0253611884119302","2936","70","-2.63668277896835","-9.26596899108503","23887.9800381282","23989.6927201203","-11926.9900190641","16.5707455575159"
"moment_NA_bray.gra.suc","DF1","mm_H1r","-6.85611155545449","1.25927730247139","2862","5.63577312973453e-08","176.576737240968","-0.0253611884119302","2936","70","-4.38792804261057","-9.32429506829842","23887.9800381282","23989.6927201203","-11926.9900190641","16.5707455575159"
"moment_NAcwL1D","DF1","mm_H1r","0.319379861475253","0.0295775027238863","2862","1.13958966031366e-26","176.576737240968","-0.0253611884119302","2936","70","0.377351766814071","0.261407956136436","23887.9800381282","23989.6927201203","-11926.9900190641","16.5707455575159"
"timecw","DF1","mm_H1r","0.0322170077775056","0.0137531152138837","2862","0.019221958941015","176.576737240968","-0.0253611884119302","2936","70","0.0591731135967176","0.00526090195829354","23887.9800381282","23989.6927201203","-11926.9900190641","16.5707455575159"
