,dataset,model,FEest,SE,DF,pvalue,residual,phi,nobs,N,u95CI,l95CI,AIC,BIC,LL,RMSE
(Intercept),DF1,mm1mcED(dfmm),23.09741685,1.209371054,2861,1.25E-76,175.9667055,-0.014154299,2936,70,25.46778412,20.72704959,23862.75458,24018.27965,-11905.37729,14.98944724
moment_NA_bray.bal.succw,DF1,mm1mcED(dfmm),-2.737982474,1.476530518,2861,0.063794059,175.9667055,-0.014154299,2936,70,0.156017342,-5.631982289,23862.75458,24018.27965,-11905.37729,14.98944724
moment_NA_bray.gra.succw,DF1,mm1mcED(dfmm),-4.24525531,1.272860107,2861,0.000863223,175.9667055,-0.014154299,2936,70,-1.750449499,-6.74006112,23862.75458,24018.27965,-11905.37729,14.98944724
moment_NAcwL1D,DF1,mm1mcED(dfmm),0.323438371,0.030956676,2861,4.20E-25,175.9667055,-0.014154299,2936,70,0.384113456,0.262763286,23862.75458,24018.27965,-11905.37729,14.98944724
m_EDL1,DF1,mm1mcED(dfmm),-0.205569752,0.125723932,2861,0.102140512,175.9667055,-0.014154299,2936,70,0.040849156,-0.451988659,23862.75458,24018.27965,-11905.37729,14.98944724
timecw,DF1,mm1mcED(dfmm),0.036235942,0.013926402,2861,0.009317063,175.9667055,-0.014154299,2936,70,0.06353169,0.008940195,23862.75458,24018.27965,-11905.37729,14.98944724
moment_NA_bray.bal.succb,DF1,mm1mcED(dfmm),-2.738453851,18.884428,66,0.885143952,175.9667055,-0.014154299,2936,70,34.27502502,-39.75193272,23862.75458,24018.27965,-11905.37729,14.98944724
moment_NA_bray.gra.succb,DF1,mm1mcED(dfmm),-58.32738995,8.081773536,66,6.65E-10,175.9667055,-0.014154299,2936,70,-42.48711382,-74.16766608,23862.75458,24018.27965,-11905.37729,14.98944724
m_EDcb,DF1,mm1mcED(dfmm),-8.22988307,2.652480914,66,0.002821781,175.9667055,-0.014154299,2936,70,-3.03102048,-13.42874566,23862.75458,24018.27965,-11905.37729,14.98944724
(Intercept),DF1,mm2mcED(dfmm),11.96142702,2.416028547,2859,7.82E-07,175.9420674,-0.024004125,2936,70,16.69684297,7.226011065,23864.68723,24163.72263,-11882.34362,14.64995799
moment_NA_bray.bal.succw,DF1,mm2mcED(dfmm),4.761960386,3.235412786,2859,0.14117829,175.9420674,-0.024004125,2936,70,11.10336945,-1.579448675,23864.68723,24163.72263,-11882.34362,14.64995799
moment_NA_bray.gra.succw,DF1,mm2mcED(dfmm),2.21811612,2.281339935,2859,0.330990267,175.9420674,-0.024004125,2936,70,6.689542392,-2.253310152,23864.68723,24163.72263,-11882.34362,14.64995799
